Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 0, loss: 2.680914, train acc: 0.412256, train avg acc: 0.239585
Test 0, loss: 2.571288, test acc: 0.452188, test avg acc: 0.365058
Train 1, loss: 2.178943, train acc: 0.616857, train avg acc: 0.473067
Test 1, loss: 2.244573, test acc: 0.570908, test avg acc: 0.481140
Train 2, loss: 2.013413, train acc: 0.694931, train avg acc: 0.573188
Test 2, loss: 2.038197, test acc: 0.670989, test avg acc: 0.570512
Train 3, loss: 1.930607, train acc: 0.726588, train avg acc: 0.617209
Test 3, loss: 2.068461, test acc: 0.673420, test avg acc: 0.600169
Train 4, loss: 1.873249, train acc: 0.749491, train avg acc: 0.645926
Test 4, loss: 1.950328, test acc: 0.715964, test avg acc: 0.636814
Train 5, loss: 1.847636, train acc: 0.762826, train avg acc: 0.664219
Test 5, loss: 1.924950, test acc: 0.731361, test avg acc: 0.680715
Train 6, loss: 1.815234, train acc: 0.772598, train avg acc: 0.677205
Test 6, loss: 1.870171, test acc: 0.750405, test avg acc: 0.692424
Train 7, loss: 1.803111, train acc: 0.783591, train avg acc: 0.694670
Test 7, loss: 1.873205, test acc: 0.754862, test avg acc: 0.689448
Train 8, loss: 1.775722, train acc: 0.794686, train avg acc: 0.706277
Test 8, loss: 1.857882, test acc: 0.757699, test avg acc: 0.689727
Train 9, loss: 1.757010, train acc: 0.802015, train avg acc: 0.718089
Test 9, loss: 1.826896, test acc: 0.759724, test avg acc: 0.724576
Train 10, loss: 1.756761, train acc: 0.799471, train avg acc: 0.715838
Test 10, loss: 1.908051, test acc: 0.742301, test avg acc: 0.703023
Train 11, loss: 1.728986, train acc: 0.809650, train avg acc: 0.726432
Test 11, loss: 1.796556, test acc: 0.775122, test avg acc: 0.732488
Train 12, loss: 1.726747, train acc: 0.815757, train avg acc: 0.734828
Test 12, loss: 1.775529, test acc: 0.792950, test avg acc: 0.747134
Train 13, loss: 1.709782, train acc: 0.821458, train avg acc: 0.742429
Test 13, loss: 1.787117, test acc: 0.807536, test avg acc: 0.756448
Train 14, loss: 1.711026, train acc: 0.819218, train avg acc: 0.740106
Test 14, loss: 1.803737, test acc: 0.788898, test avg acc: 0.729674
Train 15, loss: 1.698882, train acc: 0.824410, train avg acc: 0.749746
Test 15, loss: 1.840830, test acc: 0.765397, test avg acc: 0.715430
Train 16, loss: 1.689183, train acc: 0.830415, train avg acc: 0.753296
Test 16, loss: 1.775046, test acc: 0.802269, test avg acc: 0.738209
Train 17, loss: 1.679676, train acc: 0.836930, train avg acc: 0.763282
Test 17, loss: 1.857829, test acc: 0.764587, test avg acc: 0.705215
Train 18, loss: 1.675086, train acc: 0.835708, train avg acc: 0.761001
Test 18, loss: 1.769251, test acc: 0.817666, test avg acc: 0.777442
Train 19, loss: 1.664843, train acc: 0.842121, train avg acc: 0.767604
Test 19, loss: 1.791391, test acc: 0.806726, test avg acc: 0.758279
Train 20, loss: 1.633929, train acc: 0.852402, train avg acc: 0.785606
Test 20, loss: 1.704755, test acc: 0.830632, test avg acc: 0.774029
Train 21, loss: 1.630145, train acc: 0.854947, train avg acc: 0.788092
Test 21, loss: 1.742300, test acc: 0.800243, test avg acc: 0.752581
Train 22, loss: 1.619900, train acc: 0.856983, train avg acc: 0.793776
Test 22, loss: 1.738064, test acc: 0.837520, test avg acc: 0.788948
Train 23, loss: 1.616816, train acc: 0.861767, train avg acc: 0.798170
Test 23, loss: 1.757147, test acc: 0.826175, test avg acc: 0.776680
Train 24, loss: 1.608018, train acc: 0.863701, train avg acc: 0.799328
Test 24, loss: 1.719404, test acc: 0.825770, test avg acc: 0.764767
Train 25, loss: 1.620493, train acc: 0.857899, train avg acc: 0.796455
Test 25, loss: 1.734720, test acc: 0.828201, test avg acc: 0.803238
Train 26, loss: 1.600457, train acc: 0.869707, train avg acc: 0.810266
Test 26, loss: 1.746522, test acc: 0.818882, test avg acc: 0.774576
Train 27, loss: 1.603823, train acc: 0.867060, train avg acc: 0.810223
Test 27, loss: 1.720241, test acc: 0.831848, test avg acc: 0.785390
Train 28, loss: 1.603891, train acc: 0.865941, train avg acc: 0.805448
Test 28, loss: 1.743610, test acc: 0.824149, test avg acc: 0.762581
Train 29, loss: 1.596043, train acc: 0.868791, train avg acc: 0.811163
Test 29, loss: 1.714736, test acc: 0.839951, test avg acc: 0.790831
Train 30, loss: 1.587205, train acc: 0.871641, train avg acc: 0.816009
Test 30, loss: 1.743247, test acc: 0.829822, test avg acc: 0.790733
Train 31, loss: 1.582977, train acc: 0.873779, train avg acc: 0.817017
Test 31, loss: 1.753775, test acc: 0.822123, test avg acc: 0.775738
Train 32, loss: 1.577759, train acc: 0.875611, train avg acc: 0.821962
Test 32, loss: 1.715492, test acc: 0.838736, test avg acc: 0.799448
Train 33, loss: 1.582637, train acc: 0.872557, train avg acc: 0.812643
Test 33, loss: 1.712953, test acc: 0.845219, test avg acc: 0.798541
Train 34, loss: 1.574532, train acc: 0.878563, train avg acc: 0.825595
Test 34, loss: 1.704225, test acc: 0.841572, test avg acc: 0.804331
Train 35, loss: 1.570094, train acc: 0.878970, train avg acc: 0.820071
Test 35, loss: 1.738373, test acc: 0.827391, test avg acc: 0.776302
Train 36, loss: 1.564128, train acc: 0.881616, train avg acc: 0.829525
Test 36, loss: 1.687049, test acc: 0.859400, test avg acc: 0.811988
Train 37, loss: 1.566301, train acc: 0.883245, train avg acc: 0.829021
Test 37, loss: 1.700543, test acc: 0.839141, test avg acc: 0.783849
Train 38, loss: 1.570741, train acc: 0.879479, train avg acc: 0.824517
Test 38, loss: 1.713827, test acc: 0.840357, test avg acc: 0.790116
Train 39, loss: 1.562496, train acc: 0.882940, train avg acc: 0.830161
Test 39, loss: 1.697173, test acc: 0.846029, test avg acc: 0.804791
Train 40, loss: 1.538519, train acc: 0.890472, train avg acc: 0.838485
Test 40, loss: 1.693612, test acc: 0.854538, test avg acc: 0.821070
Train 41, loss: 1.538650, train acc: 0.893424, train avg acc: 0.842918
Test 41, loss: 1.669349, test acc: 0.861831, test avg acc: 0.815541
Train 42, loss: 1.535672, train acc: 0.892915, train avg acc: 0.841381
Test 42, loss: 1.682043, test acc: 0.853323, test avg acc: 0.810872
Train 43, loss: 1.527367, train acc: 0.898717, train avg acc: 0.850981
Test 43, loss: 1.691846, test acc: 0.840357, test avg acc: 0.799756
Train 44, loss: 1.524349, train acc: 0.897496, train avg acc: 0.850717
Test 44, loss: 1.711013, test acc: 0.851702, test avg acc: 0.817570
Train 45, loss: 1.528692, train acc: 0.899837, train avg acc: 0.854400
Test 45, loss: 1.699295, test acc: 0.849676, test avg acc: 0.812622
Train 46, loss: 1.523161, train acc: 0.901975, train avg acc: 0.853953
Test 46, loss: 1.661605, test acc: 0.863047, test avg acc: 0.814779
Train 47, loss: 1.519714, train acc: 0.901975, train avg acc: 0.854093
Test 47, loss: 1.696994, test acc: 0.839546, test avg acc: 0.798506
Train 48, loss: 1.522588, train acc: 0.901669, train avg acc: 0.854976
Test 48, loss: 1.684275, test acc: 0.856564, test avg acc: 0.812343
Train 49, loss: 1.517818, train acc: 0.903196, train avg acc: 0.855645
Test 49, loss: 1.725698, test acc: 0.840357, test avg acc: 0.789360
Train 50, loss: 1.520270, train acc: 0.900753, train avg acc: 0.855438
Test 50, loss: 1.654288, test acc: 0.861426, test avg acc: 0.824808
Train 51, loss: 1.515766, train acc: 0.907064, train avg acc: 0.866937
Test 51, loss: 1.656917, test acc: 0.863047, test avg acc: 0.813081
Train 52, loss: 1.511755, train acc: 0.906148, train avg acc: 0.862802
Test 52, loss: 1.674913, test acc: 0.856159, test avg acc: 0.806866
Train 53, loss: 1.515042, train acc: 0.904927, train avg acc: 0.860682
Test 53, loss: 1.688156, test acc: 0.858995, test avg acc: 0.815622
Train 54, loss: 1.515156, train acc: 0.903094, train avg acc: 0.856744
Test 54, loss: 1.677784, test acc: 0.856159, test avg acc: 0.812291
Train 55, loss: 1.510057, train acc: 0.906046, train avg acc: 0.865365
Test 55, loss: 1.652467, test acc: 0.869530, test avg acc: 0.817610
Train 56, loss: 1.507694, train acc: 0.905741, train avg acc: 0.859085
Test 56, loss: 1.684758, test acc: 0.858995, test avg acc: 0.804901
Train 57, loss: 1.511130, train acc: 0.904927, train avg acc: 0.859446
Test 57, loss: 1.683970, test acc: 0.861426, test avg acc: 0.816407
Train 58, loss: 1.504502, train acc: 0.908184, train avg acc: 0.865895
Test 58, loss: 1.660587, test acc: 0.853728, test avg acc: 0.813983
Train 59, loss: 1.498816, train acc: 0.913375, train avg acc: 0.872911
Test 59, loss: 1.721927, test acc: 0.837925, test avg acc: 0.787250
Train 60, loss: 1.491773, train acc: 0.913681, train avg acc: 0.874784
Test 60, loss: 1.694846, test acc: 0.854538, test avg acc: 0.801634
Train 61, loss: 1.487134, train acc: 0.916327, train avg acc: 0.878790
Test 61, loss: 1.670916, test acc: 0.867504, test avg acc: 0.836081
Train 62, loss: 1.486937, train acc: 0.916633, train avg acc: 0.877121
Test 62, loss: 1.656467, test acc: 0.866694, test avg acc: 0.828483
Train 63, loss: 1.479220, train acc: 0.922842, train avg acc: 0.886361
Test 63, loss: 1.628192, test acc: 0.873177, test avg acc: 0.832657
Train 64, loss: 1.477078, train acc: 0.920297, train avg acc: 0.882344
Test 64, loss: 1.659160, test acc: 0.869125, test avg acc: 0.827285
Train 65, loss: 1.475094, train acc: 0.920704, train avg acc: 0.884424
Test 65, loss: 1.659947, test acc: 0.858995, test avg acc: 0.838442
Train 66, loss: 1.473201, train acc: 0.921519, train avg acc: 0.883930
