Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='rotate_raw_adam_steplr_morefc_stn', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 0, loss: 2.673527, train acc: 0.424980, train avg acc: 0.260749
Test 0, loss: 2.435496, test acc: 0.524311, test avg acc: 0.426209
Train 1, loss: 2.152113, train acc: 0.631616, train avg acc: 0.495192
Test 1, loss: 2.171266, test acc: 0.640194, test avg acc: 0.544413
Train 2, loss: 1.991571, train acc: 0.704601, train avg acc: 0.590159
Test 2, loss: 1.962212, test acc: 0.715154, test avg acc: 0.626326
Train 3, loss: 1.918519, train acc: 0.735953, train avg acc: 0.629099
Test 3, loss: 2.055725, test acc: 0.688817, test avg acc: 0.601488
Train 4, loss: 1.857605, train acc: 0.758042, train avg acc: 0.659430
Test 4, loss: 1.919862, test acc: 0.727310, test avg acc: 0.666547
Train 5, loss: 1.828900, train acc: 0.772801, train avg acc: 0.679202
Test 5, loss: 1.816709, test acc: 0.772285, test avg acc: 0.708453
Train 6, loss: 1.806788, train acc: 0.780334, train avg acc: 0.691820
Test 6, loss: 1.843546, test acc: 0.757293, test avg acc: 0.695552
Train 7, loss: 1.784017, train acc: 0.788070, train avg acc: 0.695244
Test 7, loss: 1.851618, test acc: 0.764992, test avg acc: 0.710564
Train 8, loss: 1.771927, train acc: 0.796010, train avg acc: 0.708102
Test 8, loss: 1.849765, test acc: 0.765397, test avg acc: 0.706256
Train 9, loss: 1.753254, train acc: 0.802117, train avg acc: 0.718490
Test 9, loss: 1.839958, test acc: 0.762966, test avg acc: 0.713157
Train 10, loss: 1.735415, train acc: 0.808632, train avg acc: 0.726908
Test 10, loss: 1.862346, test acc: 0.756078, test avg acc: 0.703442
Train 11, loss: 1.724014, train acc: 0.816063, train avg acc: 0.736450
Test 11, loss: 1.817337, test acc: 0.781605, test avg acc: 0.733494
Train 12, loss: 1.710120, train acc: 0.820440, train avg acc: 0.741301
Test 12, loss: 1.795949, test acc: 0.790924, test avg acc: 0.715622
Train 13, loss: 1.701621, train acc: 0.826242, train avg acc: 0.748595
Test 13, loss: 1.763093, test acc: 0.810373, test avg acc: 0.748860
Train 14, loss: 1.703387, train acc: 0.824308, train avg acc: 0.746808
Test 14, loss: 1.813973, test acc: 0.779173, test avg acc: 0.708308
Train 15, loss: 1.689026, train acc: 0.829296, train avg acc: 0.753201
Test 15, loss: 1.827583, test acc: 0.780794, test avg acc: 0.742855
Train 16, loss: 1.684883, train acc: 0.834487, train avg acc: 0.757861
Test 16, loss: 1.794777, test acc: 0.801459, test avg acc: 0.741930
Train 17, loss: 1.677263, train acc: 0.835810, train avg acc: 0.760809
Test 17, loss: 1.818473, test acc: 0.777958, test avg acc: 0.728547
Train 18, loss: 1.666483, train acc: 0.838457, train avg acc: 0.766246
Test 18, loss: 1.813733, test acc: 0.804295, test avg acc: 0.746523
Train 19, loss: 1.663357, train acc: 0.841307, train avg acc: 0.767973
Test 19, loss: 1.798624, test acc: 0.790924, test avg acc: 0.729994
Train 20, loss: 1.620597, train acc: 0.856678, train avg acc: 0.787288
Test 20, loss: 1.715256, test acc: 0.841572, test avg acc: 0.782669
Train 21, loss: 1.606334, train acc: 0.867162, train avg acc: 0.806985
Test 21, loss: 1.730721, test acc: 0.828606, test avg acc: 0.775221
Train 22, loss: 1.605128, train acc: 0.867671, train avg acc: 0.806705
Test 22, loss: 1.705960, test acc: 0.843598, test avg acc: 0.784791
Train 23, loss: 1.600129, train acc: 0.868587, train avg acc: 0.804730
Test 23, loss: 1.774429, test acc: 0.812804, test avg acc: 0.761727
Train 24, loss: 1.594253, train acc: 0.870419, train avg acc: 0.808710
Test 24, loss: 1.720539, test acc: 0.840357, test avg acc: 0.799453
Train 25, loss: 1.604080, train acc: 0.862683, train avg acc: 0.801352
Test 25, loss: 1.734411, test acc: 0.833468, test avg acc: 0.790744
Train 26, loss: 1.587074, train acc: 0.874287, train avg acc: 0.815763
Test 26, loss: 1.739337, test acc: 0.834684, test avg acc: 0.776843
Train 27, loss: 1.586050, train acc: 0.873473, train avg acc: 0.811674
Test 27, loss: 1.740214, test acc: 0.833468, test avg acc: 0.789424
Train 28, loss: 1.586005, train acc: 0.872150, train avg acc: 0.814632
Test 28, loss: 1.705094, test acc: 0.838736, test avg acc: 0.787605
Train 29, loss: 1.571852, train acc: 0.878868, train avg acc: 0.826408
Test 29, loss: 1.784465, test acc: 0.805105, test avg acc: 0.756878
Train 30, loss: 1.575909, train acc: 0.876221, train avg acc: 0.819531
Test 30, loss: 1.726006, test acc: 0.824959, test avg acc: 0.782971
Train 31, loss: 1.576335, train acc: 0.874796, train avg acc: 0.817084
Test 31, loss: 1.714852, test acc: 0.825770, test avg acc: 0.782233
Train 32, loss: 1.569908, train acc: 0.881820, train avg acc: 0.828285
Test 32, loss: 1.749030, test acc: 0.813209, test avg acc: 0.775041
Train 33, loss: 1.565843, train acc: 0.879173, train avg acc: 0.822869
Test 33, loss: 1.769068, test acc: 0.816451, test avg acc: 0.772948
Train 34, loss: 1.560820, train acc: 0.884670, train avg acc: 0.831140
Test 34, loss: 1.702870, test acc: 0.839546, test avg acc: 0.792244
Train 35, loss: 1.559959, train acc: 0.884263, train avg acc: 0.833039
Test 35, loss: 1.754785, test acc: 0.809562, test avg acc: 0.745593
Train 36, loss: 1.556666, train acc: 0.886604, train avg acc: 0.836239
Test 36, loss: 1.730323, test acc: 0.835900, test avg acc: 0.767279
Train 37, loss: 1.550365, train acc: 0.887928, train avg acc: 0.836294
Test 37, loss: 1.725803, test acc: 0.841167, test avg acc: 0.796174
Train 38, loss: 1.551989, train acc: 0.888029, train avg acc: 0.837809
Test 38, loss: 1.724422, test acc: 0.835900, test avg acc: 0.795035
Train 39, loss: 1.547155, train acc: 0.888233, train avg acc: 0.835128
Test 39, loss: 1.739358, test acc: 0.827796, test avg acc: 0.779372
Train 40, loss: 1.520839, train acc: 0.900448, train avg acc: 0.853661
Test 40, loss: 1.690312, test acc: 0.862237, test avg acc: 0.816773
Train 41, loss: 1.514805, train acc: 0.901160, train avg acc: 0.854168
Test 41, loss: 1.667051, test acc: 0.860211, test avg acc: 0.806907
Train 42, loss: 1.510492, train acc: 0.906759, train avg acc: 0.861625
Test 42, loss: 1.696444, test acc: 0.854943, test avg acc: 0.809488
Train 43, loss: 1.506070, train acc: 0.907268, train avg acc: 0.864560
Test 43, loss: 1.719508, test acc: 0.842382, test avg acc: 0.806657
Train 44, loss: 1.504608, train acc: 0.911441, train avg acc: 0.868374
Test 44, loss: 1.714127, test acc: 0.829011, test avg acc: 0.786709
Train 45, loss: 1.498941, train acc: 0.910525, train avg acc: 0.870027
Test 45, loss: 1.689976, test acc: 0.843598, test avg acc: 0.797035
Train 46, loss: 1.496097, train acc: 0.913070, train avg acc: 0.873794
Test 46, loss: 1.670254, test acc: 0.847245, test avg acc: 0.793779
Train 47, loss: 1.499820, train acc: 0.909202, train avg acc: 0.864802
Test 47, loss: 1.717751, test acc: 0.833874, test avg acc: 0.800622
Train 48, loss: 1.500447, train acc: 0.910220, train avg acc: 0.869328
Test 48, loss: 1.673774, test acc: 0.859806, test avg acc: 0.815174
Train 49, loss: 1.499301, train acc: 0.909711, train avg acc: 0.866281
Test 49, loss: 1.663105, test acc: 0.868720, test avg acc: 0.824273
Train 50, loss: 1.496329, train acc: 0.909100, train avg acc: 0.865757
Test 50, loss: 1.667430, test acc: 0.854538, test avg acc: 0.809523
Train 51, loss: 1.482107, train acc: 0.919076, train avg acc: 0.882674
Test 51, loss: 1.706153, test acc: 0.839141, test avg acc: 0.794116
Train 52, loss: 1.487572, train acc: 0.913681, train avg acc: 0.872595
Test 52, loss: 1.698928, test acc: 0.852107, test avg acc: 0.804686
Train 53, loss: 1.496404, train acc: 0.911747, train avg acc: 0.871977
Test 53, loss: 1.721834, test acc: 0.837520, test avg acc: 0.799012
Train 54, loss: 1.500178, train acc: 0.910729, train avg acc: 0.872574
Test 54, loss: 1.679776, test acc: 0.861426, test avg acc: 0.825878
Train 55, loss: 1.491232, train acc: 0.912052, train avg acc: 0.872161
Test 55, loss: 1.652149, test acc: 0.877229, test avg acc: 0.826988
Train 56, loss: 1.486387, train acc: 0.916124, train avg acc: 0.878705
Test 56, loss: 1.655198, test acc: 0.870340, test avg acc: 0.832023
Train 57, loss: 1.480035, train acc: 0.920501, train avg acc: 0.883442
Test 57, loss: 1.695165, test acc: 0.861021, test avg acc: 0.819866
Train 58, loss: 1.479475, train acc: 0.922435, train avg acc: 0.885557
Test 58, loss: 1.667518, test acc: 0.861426, test avg acc: 0.827070
Train 59, loss: 1.478675, train acc: 0.921417, train avg acc: 0.885123
Test 59, loss: 1.655415, test acc: 0.867909, test avg acc: 0.818686
Train 60, loss: 1.466244, train acc: 0.926303, train avg acc: 0.894174
Test 60, loss: 1.650838, test acc: 0.868720, test avg acc: 0.837971
Train 61, loss: 1.459114, train acc: 0.928441, train avg acc: 0.894471
Test 61, loss: 1.662755, test acc: 0.874797, test avg acc: 0.843163
Train 62, loss: 1.457204, train acc: 0.926608, train avg acc: 0.892105
Test 62, loss: 1.662381, test acc: 0.879254, test avg acc: 0.836895
Train 63, loss: 1.450323, train acc: 0.930375, train avg acc: 0.898083
Test 63, loss: 1.636095, test acc: 0.878444, test avg acc: 0.835279
Train 64, loss: 1.452562, train acc: 0.929357, train avg acc: 0.895355
Test 64, loss: 1.653378, test acc: 0.870746, test avg acc: 0.830901
Train 65, loss: 1.448589, train acc: 0.934243, train avg acc: 0.904544
Test 65, loss: 1.655566, test acc: 0.869530, test avg acc: 0.835570
Train 66, loss: 1.447470, train acc: 0.932716, train avg acc: 0.900632
Test 66, loss: 1.644811, test acc: 0.877229, test avg acc: 0.841273
Train 67, loss: 1.442626, train acc: 0.933937, train avg acc: 0.901078
Test 67, loss: 1.630939, test acc: 0.878039, test avg acc: 0.841308
Train 68, loss: 1.446138, train acc: 0.936482, train avg acc: 0.907407
Test 68, loss: 1.636417, test acc: 0.881280, test avg acc: 0.837936
Train 69, loss: 1.444908, train acc: 0.935261, train avg acc: 0.907445
Test 69, loss: 1.659616, test acc: 0.864263, test avg acc: 0.835105
Train 70, loss: 1.441995, train acc: 0.935668, train avg acc: 0.905643
Test 70, loss: 1.647868, test acc: 0.877229, test avg acc: 0.845151
Train 71, loss: 1.443634, train acc: 0.936584, train avg acc: 0.906483
Test 71, loss: 1.648086, test acc: 0.878444, test avg acc: 0.840157
Train 72, loss: 1.438394, train acc: 0.936991, train avg acc: 0.906390
Test 72, loss: 1.670529, test acc: 0.875203, test avg acc: 0.844831
Train 73, loss: 1.440752, train acc: 0.936991, train avg acc: 0.907976
Test 73, loss: 1.646359, test acc: 0.885332, test avg acc: 0.842686
Train 74, loss: 1.436565, train acc: 0.936482, train avg acc: 0.906786
Test 74, loss: 1.666857, test acc: 0.875608, test avg acc: 0.833285
Train 75, loss: 1.437163, train acc: 0.938518, train avg acc: 0.909979
Test 75, loss: 1.673529, test acc: 0.873987, test avg acc: 0.827570
Train 76, loss: 1.433833, train acc: 0.940656, train avg acc: 0.913239
Test 76, loss: 1.642233, test acc: 0.881280, test avg acc: 0.843366
Train 77, loss: 1.430049, train acc: 0.943404, train avg acc: 0.914296
Test 77, loss: 1.662051, test acc: 0.869125, test avg acc: 0.837465
Train 78, loss: 1.431160, train acc: 0.940859, train avg acc: 0.913531
Test 78, loss: 1.645269, test acc: 0.876823, test avg acc: 0.843459
Train 79, loss: 1.436407, train acc: 0.937500, train avg acc: 0.907676
Test 79, loss: 1.653323, test acc: 0.866694, test avg acc: 0.846826
Train 80, loss: 1.417312, train acc: 0.947985, train avg acc: 0.924638
Test 80, loss: 1.630121, test acc: 0.881280, test avg acc: 0.846855
Train 81, loss: 1.414439, train acc: 0.948392, train avg acc: 0.926213
Test 81, loss: 1.652275, test acc: 0.878849, test avg acc: 0.847936
Train 82, loss: 1.410069, train acc: 0.951954, train avg acc: 0.930163
Test 82, loss: 1.641255, test acc: 0.888169, test avg acc: 0.848267
Train 83, loss: 1.408886, train acc: 0.948290, train avg acc: 0.926022
Test 83, loss: 1.640412, test acc: 0.879660, test avg acc: 0.848616
Train 84, loss: 1.410492, train acc: 0.949308, train avg acc: 0.926758
Test 84, loss: 1.627404, test acc: 0.886143, test avg acc: 0.848227
Train 85, loss: 1.407600, train acc: 0.950529, train avg acc: 0.926742
Test 85, loss: 1.666429, test acc: 0.878849, test avg acc: 0.841395
Train 86, loss: 1.411051, train acc: 0.949919, train avg acc: 0.926508
Test 86, loss: 1.641175, test acc: 0.882496, test avg acc: 0.851651
Train 87, loss: 1.409058, train acc: 0.950122, train avg acc: 0.926332
Test 87, loss: 1.650827, test acc: 0.872366, test avg acc: 0.843326
Train 88, loss: 1.408648, train acc: 0.951445, train avg acc: 0.928630
Test 88, loss: 1.648317, test acc: 0.881686, test avg acc: 0.842535
Train 89, loss: 1.404343, train acc: 0.951751, train avg acc: 0.928242
Test 89, loss: 1.644778, test acc: 0.882496, test avg acc: 0.851651
Train 90, loss: 1.403814, train acc: 0.952362, train avg acc: 0.927076
Test 90, loss: 1.639763, test acc: 0.877634, test avg acc: 0.837448
Train 91, loss: 1.404266, train acc: 0.951344, train avg acc: 0.926454
Test 91, loss: 1.627765, test acc: 0.882496, test avg acc: 0.844105
Train 92, loss: 1.398382, train acc: 0.955721, train avg acc: 0.933701
Test 92, loss: 1.625392, test acc: 0.878444, test avg acc: 0.841517
Train 93, loss: 1.400134, train acc: 0.955924, train avg acc: 0.933620
Test 93, loss: 1.652154, test acc: 0.881280, test avg acc: 0.847866
Train 94, loss: 1.401043, train acc: 0.952871, train avg acc: 0.929275
Test 94, loss: 1.637880, test acc: 0.876013, test avg acc: 0.846808
Train 95, loss: 1.403781, train acc: 0.951853, train avg acc: 0.929802
Test 95, loss: 1.638882, test acc: 0.875608, test avg acc: 0.836942
Train 96, loss: 1.397462, train acc: 0.954397, train avg acc: 0.932342
Test 96, loss: 1.643573, test acc: 0.877634, test avg acc: 0.844936
Train 97, loss: 1.402362, train acc: 0.949206, train avg acc: 0.924467
Test 97, loss: 1.646133, test acc: 0.883712, test avg acc: 0.849605
Train 98, loss: 1.397676, train acc: 0.955517, train avg acc: 0.934769
Test 98, loss: 1.656883, test acc: 0.878849, test avg acc: 0.843750
Train 99, loss: 1.393012, train acc: 0.958164, train avg acc: 0.938251
Test 99, loss: 1.633201, test acc: 0.878849, test avg acc: 0.847488
Train 100, loss: 1.385868, train acc: 0.958265, train avg acc: 0.937565
Test 100, loss: 1.642422, test acc: 0.886548, test avg acc: 0.857314
Train 101, loss: 1.384311, train acc: 0.961421, train avg acc: 0.943493
Test 101, loss: 1.644837, test acc: 0.883712, test avg acc: 0.849890
Train 102, loss: 1.384316, train acc: 0.961625, train avg acc: 0.944964
Test 102, loss: 1.622886, test acc: 0.885332, test avg acc: 0.849442
Train 103, loss: 1.385558, train acc: 0.959182, train avg acc: 0.940149
Test 103, loss: 1.655639, test acc: 0.875608, test avg acc: 0.856605
Train 104, loss: 1.381879, train acc: 0.960912, train avg acc: 0.943008
Test 104, loss: 1.634401, test acc: 0.886548, test avg acc: 0.853227
Train 105, loss: 1.382878, train acc: 0.960810, train avg acc: 0.942673
Test 105, loss: 1.629380, test acc: 0.888574, test avg acc: 0.852855
Train 106, loss: 1.380824, train acc: 0.964068, train avg acc: 0.946517
Test 106, loss: 1.634626, test acc: 0.884927, test avg acc: 0.851442
Train 107, loss: 1.376946, train acc: 0.965493, train avg acc: 0.948514
Test 107, loss: 1.635003, test acc: 0.893031, test avg acc: 0.852355
Train 108, loss: 1.378524, train acc: 0.962643, train avg acc: 0.945471
Test 108, loss: 1.633392, test acc: 0.888979, test avg acc: 0.855262
Train 109, loss: 1.379544, train acc: 0.962643, train avg acc: 0.944180
Test 109, loss: 1.636340, test acc: 0.884927, test avg acc: 0.843064
Train 110, loss: 1.376833, train acc: 0.964882, train avg acc: 0.946878
Test 110, loss: 1.637698, test acc: 0.886953, test avg acc: 0.854355
Train 111, loss: 1.379716, train acc: 0.961523, train avg acc: 0.943194
Test 111, loss: 1.631594, test acc: 0.891410, test avg acc: 0.863640
Train 112, loss: 1.378270, train acc: 0.965086, train avg acc: 0.948797
Test 112, loss: 1.623176, test acc: 0.890194, test avg acc: 0.853436
Train 113, loss: 1.380161, train acc: 0.962337, train avg acc: 0.942361
Test 113, loss: 1.622467, test acc: 0.883712, test avg acc: 0.848273
Train 114, loss: 1.377076, train acc: 0.963559, train avg acc: 0.945972
Test 114, loss: 1.643674, test acc: 0.880470, test avg acc: 0.843477
Train 115, loss: 1.373633, train acc: 0.964475, train avg acc: 0.947732
Test 115, loss: 1.649572, test acc: 0.876013, test avg acc: 0.847401
Train 116, loss: 1.376729, train acc: 0.959792, train avg acc: 0.939315
Test 116, loss: 1.653263, test acc: 0.880875, test avg acc: 0.852895
Train 117, loss: 1.378325, train acc: 0.960912, train avg acc: 0.939357
Test 117, loss: 1.633834, test acc: 0.891005, test avg acc: 0.853645
Train 118, loss: 1.375014, train acc: 0.964577, train avg acc: 0.948379
Test 118, loss: 1.638332, test acc: 0.878849, test avg acc: 0.845483
Train 119, loss: 1.375707, train acc: 0.965086, train avg acc: 0.948742
Test 119, loss: 1.634464, test acc: 0.887763, test avg acc: 0.853395
Train 120, loss: 1.367981, train acc: 0.966307, train avg acc: 0.949494
Test 120, loss: 1.641262, test acc: 0.889789, test avg acc: 0.858523
Train 121, loss: 1.362817, train acc: 0.969463, train avg acc: 0.955592
Test 121, loss: 1.623347, test acc: 0.889789, test avg acc: 0.857105
Train 122, loss: 1.365087, train acc: 0.969463, train avg acc: 0.954894
Test 122, loss: 1.660326, test acc: 0.879254, test avg acc: 0.849238
Train 123, loss: 1.364473, train acc: 0.969361, train avg acc: 0.954120
Test 123, loss: 1.630463, test acc: 0.892220, test avg acc: 0.862733
Train 124, loss: 1.361322, train acc: 0.970582, train avg acc: 0.955421
Test 124, loss: 1.632466, test acc: 0.886143, test avg acc: 0.850442
Train 125, loss: 1.361465, train acc: 0.969768, train avg acc: 0.955205
Test 125, loss: 1.635831, test acc: 0.879660, test avg acc: 0.843692
Train 126, loss: 1.363634, train acc: 0.969259, train avg acc: 0.954765
Test 126, loss: 1.632496, test acc: 0.888979, test avg acc: 0.850186
Train 127, loss: 1.362010, train acc: 0.968954, train avg acc: 0.953344
Test 127, loss: 1.624300, test acc: 0.889384, test avg acc: 0.857279
Train 128, loss: 1.359529, train acc: 0.972414, train avg acc: 0.960116
Test 128, loss: 1.642501, test acc: 0.878849, test avg acc: 0.852436
