Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_stn_astf_hasbias_rjsrpsAug', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_stn_astf_hasbias_rjsrpsAug', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 0, loss: 2.769821, train acc: 0.395867, train avg acc: 0.229436
Test 0, loss: 2.554816, test acc: 0.449757, test avg acc: 0.366907
Train 1, loss: 2.173367, train acc: 0.639149, train avg acc: 0.483019
Test 1, loss: 1.999644, test acc: 0.721232, test avg acc: 0.612779
Train 2, loss: 1.983778, train acc: 0.731169, train avg acc: 0.610028
Test 2, loss: 1.840908, test acc: 0.785656, test avg acc: 0.686651
Train 3, loss: 1.897753, train acc: 0.769544, train avg acc: 0.656061
Test 3, loss: 1.785320, test acc: 0.803890, test avg acc: 0.751808
Train 4, loss: 1.843256, train acc: 0.788172, train avg acc: 0.686567
Test 4, loss: 1.764433, test acc: 0.803890, test avg acc: 0.731116
Train 5, loss: 1.817862, train acc: 0.799776, train avg acc: 0.705796
Test 5, loss: 1.732574, test acc: 0.825770, test avg acc: 0.749506
Train 6, loss: 1.787899, train acc: 0.812296, train avg acc: 0.722339
Test 6, loss: 1.719987, test acc: 0.834684, test avg acc: 0.775029
Train 7, loss: 1.764935, train acc: 0.825020, train avg acc: 0.737135
Test 7, loss: 1.693115, test acc: 0.826580, test avg acc: 0.756471
Train 8, loss: 1.744970, train acc: 0.828685, train avg acc: 0.745572
Test 8, loss: 1.682665, test acc: 0.846840, test avg acc: 0.792058
Train 9, loss: 1.735422, train acc: 0.831331, train avg acc: 0.751623
Test 9, loss: 1.825284, test acc: 0.790519, test avg acc: 0.723797
Train 10, loss: 1.717121, train acc: 0.844971, train avg acc: 0.771492
Test 10, loss: 1.628641, test acc: 0.877634, test avg acc: 0.831419
Train 11, loss: 1.707873, train acc: 0.842936, train avg acc: 0.763944
Test 11, loss: 1.661863, test acc: 0.846434, test avg acc: 0.801913
Train 12, loss: 1.694336, train acc: 0.854845, train avg acc: 0.783573
Test 12, loss: 1.681103, test acc: 0.844003, test avg acc: 0.819890
Train 13, loss: 1.681709, train acc: 0.859731, train avg acc: 0.789594
Test 13, loss: 1.702333, test acc: 0.829822, test avg acc: 0.800424
Train 14, loss: 1.681861, train acc: 0.854845, train avg acc: 0.784596
Test 14, loss: 1.645623, test acc: 0.855754, test avg acc: 0.814430
Train 15, loss: 1.672070, train acc: 0.859528, train avg acc: 0.792391
Test 15, loss: 1.624532, test acc: 0.873177, test avg acc: 0.827919
Train 16, loss: 1.664149, train acc: 0.859833, train avg acc: 0.788585
Test 16, loss: 1.621239, test acc: 0.871556, test avg acc: 0.819657
Train 17, loss: 1.664509, train acc: 0.862174, train avg acc: 0.794421
Test 17, loss: 1.593677, test acc: 0.882091, test avg acc: 0.835081
Train 18, loss: 1.658108, train acc: 0.864007, train avg acc: 0.797217
Test 18, loss: 1.617582, test acc: 0.872771, test avg acc: 0.823145
Train 19, loss: 1.650375, train acc: 0.870725, train avg acc: 0.808206
Test 19, loss: 1.664603, test acc: 0.846029, test avg acc: 0.797517
Train 20, loss: 1.623377, train acc: 0.881413, train avg acc: 0.826038
Test 20, loss: 1.595820, test acc: 0.873582, test avg acc: 0.830372
Train 21, loss: 1.614073, train acc: 0.883754, train avg acc: 0.824729
Test 21, loss: 1.597463, test acc: 0.870340, test avg acc: 0.837209
Train 22, loss: 1.612169, train acc: 0.882533, train avg acc: 0.822892
Test 22, loss: 1.631992, test acc: 0.851702, test avg acc: 0.814000
Train 23, loss: 1.613294, train acc: 0.885281, train avg acc: 0.827613
Test 23, loss: 1.565530, test acc: 0.889789, test avg acc: 0.840727
Train 24, loss: 1.610261, train acc: 0.886502, train avg acc: 0.830370
Test 24, loss: 1.625634, test acc: 0.856564, test avg acc: 0.821860
Train 25, loss: 1.597052, train acc: 0.889963, train avg acc: 0.834364
Test 25, loss: 1.648704, test acc: 0.843193, test avg acc: 0.809593
Train 26, loss: 1.595855, train acc: 0.888640, train avg acc: 0.835643
Test 26, loss: 1.595368, test acc: 0.867504, test avg acc: 0.831674
Train 27, loss: 1.602192, train acc: 0.890778, train avg acc: 0.835450
Test 27, loss: 1.574221, test acc: 0.887358, test avg acc: 0.847390
Train 28, loss: 1.591569, train acc: 0.892508, train avg acc: 0.841371
Test 28, loss: 1.570071, test acc: 0.882091, test avg acc: 0.847331
Train 29, loss: 1.591034, train acc: 0.892406, train avg acc: 0.837662
Test 29, loss: 1.541038, test acc: 0.884117, test avg acc: 0.840110
Train 30, loss: 1.588656, train acc: 0.891796, train avg acc: 0.837082
Test 30, loss: 1.547393, test acc: 0.891410, test avg acc: 0.845558
Train 31, loss: 1.587052, train acc: 0.891388, train avg acc: 0.838011
Test 31, loss: 1.564870, test acc: 0.884927, test avg acc: 0.853570
Train 32, loss: 1.592117, train acc: 0.889454, train avg acc: 0.836471
Test 32, loss: 1.587838, test acc: 0.882091, test avg acc: 0.834936
Train 33, loss: 1.584617, train acc: 0.893831, train avg acc: 0.843114
Test 33, loss: 1.607795, test acc: 0.858995, test avg acc: 0.819907
Train 34, loss: 1.575442, train acc: 0.898310, train avg acc: 0.849373
Test 34, loss: 1.557125, test acc: 0.886953, test avg acc: 0.858157
Train 35, loss: 1.577196, train acc: 0.898107, train avg acc: 0.846714
Test 35, loss: 1.544773, test acc: 0.897893, test avg acc: 0.853884
Train 36, loss: 1.569179, train acc: 0.898514, train avg acc: 0.850530
Test 36, loss: 1.551433, test acc: 0.888169, test avg acc: 0.850413
Train 37, loss: 1.570068, train acc: 0.901364, train avg acc: 0.852935
Test 37, loss: 1.573462, test acc: 0.875203, test avg acc: 0.847541
Train 38, loss: 1.572762, train acc: 0.899328, train avg acc: 0.849136
Test 38, loss: 1.551404, test acc: 0.890194, test avg acc: 0.848826
Train 39, loss: 1.567754, train acc: 0.900753, train avg acc: 0.855766
Test 39, loss: 1.549582, test acc: 0.895057, test avg acc: 0.856570
Train 40, loss: 1.547918, train acc: 0.907268, train avg acc: 0.861416
Test 40, loss: 1.525779, test acc: 0.896272, test avg acc: 0.862174
Train 41, loss: 1.545222, train acc: 0.911645, train avg acc: 0.868137
Test 41, loss: 1.522841, test acc: 0.901540, test avg acc: 0.864640
