Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 0, loss: 2.766863, train acc: 0.391592, train avg acc: 0.218359
Test 0, loss: 2.564660, test acc: 0.452188, test avg acc: 0.328692
Train 1, loss: 2.264508, train acc: 0.587337, train avg acc: 0.431383
Test 1, loss: 2.182366, test acc: 0.587115, test avg acc: 0.481855
Train 2, loss: 2.104378, train acc: 0.648208, train avg acc: 0.513029
Test 2, loss: 2.115473, test acc: 0.628444, test avg acc: 0.547477
Train 3, loss: 2.019505, train acc: 0.682309, train avg acc: 0.556830
Test 3, loss: 2.060373, test acc: 0.660859, test avg acc: 0.571407
Train 4, loss: 1.949467, train acc: 0.715493, train avg acc: 0.602884
Test 4, loss: 2.097777, test acc: 0.653971, test avg acc: 0.594291
Train 5, loss: 1.909827, train acc: 0.733103, train avg acc: 0.624496
Test 5, loss: 1.939374, test acc: 0.722853, test avg acc: 0.627233
Train 6, loss: 1.879333, train acc: 0.742467, train avg acc: 0.635538
Test 6, loss: 1.912493, test acc: 0.722042, test avg acc: 0.663105
Train 7, loss: 1.861304, train acc: 0.752748, train avg acc: 0.651407
Test 7, loss: 1.919632, test acc: 0.720827, test avg acc: 0.675105
Train 8, loss: 1.829037, train acc: 0.768526, train avg acc: 0.674465
Test 8, loss: 1.844494, test acc: 0.767018, test avg acc: 0.711529
Train 9, loss: 1.811585, train acc: 0.773208, train avg acc: 0.679275
