Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scale200I', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 0, loss: 2.692998, train acc: 0.421926, train avg acc: 0.243252
Test 0, loss: 2.410887, test acc: 0.531199, test avg acc: 0.435721
Train 1, loss: 2.224219, train acc: 0.595379, train avg acc: 0.448816
Test 1, loss: 2.093737, test acc: 0.650324, test avg acc: 0.527930
Train 2, loss: 2.082438, train acc: 0.657777, train avg acc: 0.526815
Test 2, loss: 2.020617, test acc: 0.677877, test avg acc: 0.580581
Train 3, loss: 1.987466, train acc: 0.696458, train avg acc: 0.573556
Test 3, loss: 2.017943, test acc: 0.669773, test avg acc: 0.582767
Train 4, loss: 1.915525, train acc: 0.730252, train avg acc: 0.621570
Test 4, loss: 2.218909, test acc: 0.619530, test avg acc: 0.558785
Train 5, loss: 1.870825, train acc: 0.752647, train avg acc: 0.653929
Test 5, loss: 1.859872, test acc: 0.756483, test avg acc: 0.686983
Train 6, loss: 1.840923, train acc: 0.768119, train avg acc: 0.671286
Test 6, loss: 1.900829, test acc: 0.722853, test avg acc: 0.666017
Train 7, loss: 1.819480, train acc: 0.775651, train avg acc: 0.683230
Test 7, loss: 2.031625, test acc: 0.674635, test avg acc: 0.638453
Train 8, loss: 1.792504, train acc: 0.785932, train avg acc: 0.696366
Test 8, loss: 1.856156, test acc: 0.767828, test avg acc: 0.693343
Train 9, loss: 1.766066, train acc: 0.799980, train avg acc: 0.714118
Test 9, loss: 1.977143, test acc: 0.709076, test avg acc: 0.662767
Train 10, loss: 1.772512, train acc: 0.795094, train avg acc: 0.709013
Test 10, loss: 2.049831, test acc: 0.683144, test avg acc: 0.643715
Train 11, loss: 1.742791, train acc: 0.805476, train avg acc: 0.721814
Test 11, loss: 1.873809, test acc: 0.737034, test avg acc: 0.687453
Train 12, loss: 1.737882, train acc: 0.805680, train avg acc: 0.722900
Test 12, loss: 1.929565, test acc: 0.720421, test avg acc: 0.665012
Train 13, loss: 1.730180, train acc: 0.811787, train avg acc: 0.734017
Test 13, loss: 1.856011, test acc: 0.757293, test avg acc: 0.701238
Train 14, loss: 1.727151, train acc: 0.810871, train avg acc: 0.727520
Test 14, loss: 1.817310, test acc: 0.774716, test avg acc: 0.688320
Train 15, loss: 1.708951, train acc: 0.823086, train avg acc: 0.745577
Test 15, loss: 1.882775, test acc: 0.742301, test avg acc: 0.685878
Train 16, loss: 1.704483, train acc: 0.827871, train avg acc: 0.749947
Test 16, loss: 1.806979, test acc: 0.783630, test avg acc: 0.726355
Train 17, loss: 1.691342, train acc: 0.831942, train avg acc: 0.755629
Test 17, loss: 1.792192, test acc: 0.789708, test avg acc: 0.743715
Train 18, loss: 1.688808, train acc: 0.828888, train avg acc: 0.754451
Test 18, loss: 1.826258, test acc: 0.773906, test avg acc: 0.715919
Train 19, loss: 1.682917, train acc: 0.834487, train avg acc: 0.759019
Test 19, loss: 1.843966, test acc: 0.767423, test avg acc: 0.719512
Train 20, loss: 1.646654, train acc: 0.846600, train avg acc: 0.775408
