Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scaleI', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Train 0, loss: 2.770343, train acc: 0.388029, train avg acc: 0.209580
Test 0, loss: 2.627448, test acc: 0.431929, test avg acc: 0.324110
Train 1, loss: 2.276458, train acc: 0.572985, train avg acc: 0.416925
Test 1, loss: 2.183295, test acc: 0.590357, test avg acc: 0.485669
Train 2, loss: 2.094465, train acc: 0.655130, train avg acc: 0.527266
Test 2, loss: 2.115553, test acc: 0.635332, test avg acc: 0.547430
Train 3, loss: 2.005628, train acc: 0.693811, train avg acc: 0.567692
Test 3, loss: 2.084213, test acc: 0.660859, test avg acc: 0.551570
Train 4, loss: 1.937466, train acc: 0.716205, train avg acc: 0.596283
Test 4, loss: 1.980242, test acc: 0.686791, test avg acc: 0.592512
Train 5, loss: 1.906013, train acc: 0.735647, train avg acc: 0.630662
Test 5, loss: 1.891144, test acc: 0.742707, test avg acc: 0.665529
Train 6, loss: 1.883169, train acc: 0.740635, train avg acc: 0.637234
Test 6, loss: 1.933929, test acc: 0.710697, test avg acc: 0.627640
Train 7, loss: 1.854758, train acc: 0.759365, train avg acc: 0.660562
Test 7, loss: 1.885645, test acc: 0.733793, test avg acc: 0.659244
Train 8, loss: 1.832886, train acc: 0.770460, train avg acc: 0.677733
Test 8, loss: 1.902895, test acc: 0.738250, test avg acc: 0.650657
Train 9, loss: 1.802747, train acc: 0.779520, train avg acc: 0.689885
Test 9, loss: 1.882894, test acc: 0.739465, test avg acc: 0.654814
Train 10, loss: 1.805900, train acc: 0.776364, train avg acc: 0.685960
Test 10, loss: 1.843969, test acc: 0.765802, test avg acc: 0.692233
Train 11, loss: 1.785722, train acc: 0.785322, train avg acc: 0.695364
Test 11, loss: 1.840848, test acc: 0.761345, test avg acc: 0.706512
Train 12, loss: 1.771249, train acc: 0.790004, train avg acc: 0.702012
Test 12, loss: 1.859506, test acc: 0.756483, test avg acc: 0.694488
Train 13, loss: 1.768949, train acc: 0.792345, train avg acc: 0.706834
Test 13, loss: 1.822114, test acc: 0.775122, test avg acc: 0.709203
Train 14, loss: 1.758699, train acc: 0.795399, train avg acc: 0.709114
Test 14, loss: 1.804756, test acc: 0.790924, test avg acc: 0.723512
Train 15, loss: 1.742653, train acc: 0.803542, train avg acc: 0.725054
Test 15, loss: 1.834097, test acc: 0.777958, test avg acc: 0.697349
Train 16, loss: 1.739103, train acc: 0.805273, train avg acc: 0.723325
Test 16, loss: 1.803050, test acc: 0.788898, test avg acc: 0.725558
Train 17, loss: 1.723173, train acc: 0.810973, train avg acc: 0.732532
Test 17, loss: 1.795519, test acc: 0.792545, test avg acc: 0.725483
Train 18, loss: 1.721144, train acc: 0.814434, train avg acc: 0.739906
Test 18, loss: 1.925117, test acc: 0.714344, test avg acc: 0.653087
Train 19, loss: 1.724134, train acc: 0.811279, train avg acc: 0.731704
Test 19, loss: 1.838050, test acc: 0.782820, test avg acc: 0.727500
Train 20, loss: 1.687336, train acc: 0.823493, train avg acc: 0.748632
Test 20, loss: 1.746075, test acc: 0.821313, test avg acc: 0.754076
Train 21, loss: 1.668101, train acc: 0.835301, train avg acc: 0.766211
Test 21, loss: 1.786245, test acc: 0.787277, test avg acc: 0.727512
Train 22, loss: 1.669132, train acc: 0.833062, train avg acc: 0.761706
Test 22, loss: 1.817752, test acc: 0.785656, test avg acc: 0.729773
Train 23, loss: 1.659379, train acc: 0.833265, train avg acc: 0.764417
Test 23, loss: 1.763789, test acc: 0.810373, test avg acc: 0.757285
Train 24, loss: 1.657217, train acc: 0.836726, train avg acc: 0.771637
Test 24, loss: 1.782428, test acc: 0.805916, test avg acc: 0.731709
Train 25, loss: 1.656704, train acc: 0.835810, train avg acc: 0.765057
Test 25, loss: 1.776621, test acc: 0.800648, test avg acc: 0.765564
Train 26, loss: 1.645024, train acc: 0.842732, train avg acc: 0.774953
Test 26, loss: 1.802215, test acc: 0.782010, test avg acc: 0.734779
Train 27, loss: 1.650898, train acc: 0.841918, train avg acc: 0.770726
Test 27, loss: 1.770540, test acc: 0.805916, test avg acc: 0.768355
Train 28, loss: 1.638842, train acc: 0.847516, train avg acc: 0.781587
Test 28, loss: 1.727989, test acc: 0.819692, test avg acc: 0.761709
Train 29, loss: 1.632533, train acc: 0.847109, train avg acc: 0.785647
Test 29, loss: 1.717308, test acc: 0.835494, test avg acc: 0.772541
Train 30, loss: 1.629770, train acc: 0.853115, train avg acc: 0.793381
Test 30, loss: 1.730698, test acc: 0.824959, test avg acc: 0.766587
Train 31, loss: 1.620130, train acc: 0.855558, train avg acc: 0.793926
